Compound,PubChemCID,1_YAR,2a_YAR,2b_YAR,2c_YAR,2d_YAR,3a_YAR,3b_YAR,3c_YAR,4_YAR,5_YAR,6_YAR,1_CER,2_CER,3_CER,4_CER,5a_CER,5b_CER,1a_PIC,1b_PIC,1c_PIC,1d_PIC,2a_PIC,3a_PIC,3b_PIC,4a_PIC,4b_PIC,Annotate
Cobalt (II) chloride hexahydrate,24643,0.001364267,0.0003,0.0003,0.0003,0.0003,0,0,0.007,0.0006,0.001175,3.5699999999999994e-5,0,0.0006,0.00476,0.0003,0,0,0.00065,0,0.007175,0.004002,0,0.0003,0.000640933,0,0,Element
Copper (II) sulphate pentahydrate,24463,0.03,0.0003,0.0003,0.0003,0.0003,4.0e-5,0,0.1,0.0002,0,0.00051,1.598081621210301e-5,0.0002,0.0016,0.0003,0.000102277,4.51298249829789e-5,0.00901578,0.00901578,0.0861,0.016703999999999997,0,0.0003,0.010649935540069688,0,0,Element
Dipotassium phosphate,24450,0.87,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Buffer
Disodium edta dihydrate,16760408,0,0.015,0.015,0.015,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chelating
EDTA,6049,0,0,0,0,0,0,0,12.54,0.03,0.029224999999999998,0.063954,0,0.03,0,0.015,0,0,0.0665,0.0665,0,8.7e-5,0,0.015,0,0,0,Chelating
Ferric chloride hexahydrate,6093258,0,0,0,0,0,0.000120019,0.006000962,0,0,0,0,0,0,0,0,0.000480077,0.000211834,0,0,0,0,0.01368,0,0,0,0,Element
Folic acid,135398658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0e-6,3.5299999999999997e-6,0,0,0,0,0,0,0,0,0,Vitamin
Glucose,5793,10,20,0,0,10,20,20,20,80,40,20,10,22,100,10,20,60,10,0,0,0,0,20,730,0,0,Carbon
Glutamic acid,33032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,AA
Glutamine,5961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74,AA
Glycerol,753,0,0,20,45,10,0,0,0,0,0,0,2.5,0,0,0,0,0,0,10,0,0,95.2,0,0,45.2,45.2,Carbon
Histidine,6274,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.02,0.21,0,0,0,0,0,0,0,0,0,AA
Inositol,892,9.999999999999999e-6,0.0125,0.0125,0.0125,0.0125,4.0e-6,2.0e-6,3.7500000000000003e-5,0.025,0.037500000000000006,0.000425,0.01,0.025,0.018,0.025,0.008,0.0035318,0,0,0,0,0,0.025,0,0,0,Vitamin
